Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2023-06-02,68015.8125,68015.8125,67450.58414127424,67544.78886772854,12161798
2023-06-05,67544.796875,68486.84425122036,67262.18266213388,68486.84425122036,12686829
2023-06-07,66885.359375,67450.5877640845,66696.94991197182,67167.97356954226,14796613
2023-06-08,66791.1640625,66791.1640625,65943.32135930889,66320.14033850493,19165568
2023-06-09,67827.40625,68110.02044270834,66696.94947916667,66979.563671875,15050209
2023-06-12,66885.359375,68204.22561619719,66696.94991197182,67921.61142165493,12064287
2023-06-13,67827.40625,68015.81571180555,67450.5873263889,67544.79205729166,13227285
2023-06-14,67733.203125,68015.81732440891,66979.5652599096,67921.6125912726,12541046
2023-06-15,67356.390625,68110.02856206294,67167.98114073426,67921.61907779721,13614994
2023-06-16,67639.0078125,67733.21255875696,66791.16509618732,67639.0078125,15373696
2023-06-19,67073.78125,67544.80499473315,66791.16700316011,67167.98599894663,11100887
2023-06-20,67262.1796875,67262.1796875,66320.13235294117,66602.74655330883,11557883
2023-06-21,66414.3359375,67073.7690602837,66320.13120567377,66602.74540115248,10626603
2023-06-22,67167.96875,67356.37819950911,66037.5120529453,66131.71677769985,11411007
2023-06-23,67450.6015625,68015.83006721368,67450.6015625,67827.42056564246,12329484
2023-06-26,68204.21875,68298.4234720304,67356.37625172653,67544.7856957873,10541901
2023-06-27,68392.640625,68392.640625,67827.41219008264,68298.43588584711,9442997
2023-06-28,68486.84375,68486.84375,67827.4105914718,68392.6390130674,8783093
2023-06-29,68544.59375,69491.34228245856,68544.59375,69207.317722721,12229967
2023-06-30,68355.2421875,68828.61644087604,67881.86793412396,68639.26673952563,11694765
2023-07-03,69112.6328125,69301.98249143836,68733.93345462329,68828.60829409247,10722181
2023-07-04,69112.6328125,69680.68184931506,69017.95797303082,69491.33217037671,10214350
2023-07-05,68165.890625,69396.6636501736,68071.21577690972,69112.63910590278,12310610
2023-07-06,67787.2109375,68544.60994238827,67692.53606188897,68071.2355643331,14777667
2023-07-07,66177.71875,67597.84146995709,66083.04390200286,67313.81692596566,17308877
2023-07-10,65799.0234375,66651.09712230216,65514.99887589928,66272.39770683453,11713926
2023-07-11,67692.53125,67692.53125,66367.08308566433,66461.75795454545,12177392
2023-07-12,68071.2109375,68165.88577885952,67313.81220662378,67408.4870479833,10375581
2023-07-13,68071.2109375,68733.93482701668,68071.2109375,68544.58514429763,14417279
2023-07-14,69491.3515625,69491.3515625,68544.60290361036,68639.27776949931,15882519
2023-07-17,69396.671875,69586.02159362209,68923.29757844475,69301.99701568895,10060049
2023-07-18,68165.890625,69586.01334635417,68165.890625,69301.98880208333,11697900
2023-07-19,67881.875,68923.29846582984,67503.17555788005,68828.62360529986,10896412
2023-07-20,67219.1484375,67692.52272227113,67029.79872359155,67313.82329445423,9732730
2023-07-21,66556.4140625,66651.08890469417,65704.3404827525,66651.08890469417,16528926
2023-07-24,66651.1015625,67124.47586337003,66177.72726162997,66367.07698197798,13418597
2023-07-25,66272.390625,66745.76484375,66083.0409375,66272.390625,14314945
2023-07-26,66083.0625,66840.46149713466,64473.58963108882,66083.0625,30016221
2023-07-27,67881.875,67881.875,65609.67834728034,66177.72751046024,24261179
2023-07-28,66840.4609375,68544.6086667847,66367.08656825425,67976.5594236898,19420683
2023-07-31,66083.0625,67219.160995702,66083.0625,67124.48612106017,13035420
